City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,newman,37.3138,-121.0208,39.13,33,0,2.24,US,1720575202
84,port macquarie,-31.4333,152.9167,18.83,57,8,0.89,AU,1720575204
85,dudinka,69.4058,86.1778,19.34,61,0,3.89,RU,1720575205
86,new norfolk,-42.7826,147.0587,13.29,99,100,1.05,AU,1720575206
87,georgetown,5.4112,100.3354,27.97,70,40,4.63,MY,1720575208
88,vila vicosa,38.7777,-7.4179,19.82,82,0,1.92,PT,1720575209
89,aripuana,-9.1667,-60.6333,23.42,59,3,0.99,BR,1720575210
90,hithadhoo,-0.6,73.0833,28.88,73,51,4.33,MV,1720575212
91,zaysan,47.4667,84.8667,21.19,64,7,1.89,KZ,1720575213
92,mana,5.6592,-53.7767,25.22,88,38,1.81,GF,1720575214
93,urucara,-2.5364,-57.76,25.81,68,53,0.9,BR,1720575216
94,chilliwack,49.1747,-121.9443,33.9,40,0,2.57,CA,1720575217
95,kiunga,-6.1219,141.2906,24.19,96,100,1.35,PG,1720575218
96,pekalongan,-6.8886,109.6753,28.34,68,100,1.61,ID,1720575220
97,brooks,50.5834,-111.8851,31.99,34,0,3.09,CA,1720574707
98,atafu village,-8.5421,-172.5159,28.17,77,76,6.62,TK,1720575222
99,usogorsk,63.4106,48.6872,17.09,98,100,2.95,RU,1720575224
100,aadorf,47.492,8.901,20.81,88,100,2.1,CH,1720575225
101,hamilton,39.1834,-84.5333,27.07,91,40,0.45,US,1720575126
102,okhotsk,59.3833,143.3,20.42,51,100,2.22,RU,1720575227
103,hawaiian paradise park,19.5933,-154.9731,27.71,72,69,2.24,US,1720575229
104,huntsville,34.7304,-86.5861,29.14,80,0,7.2,US,1720575098
105,kotel'nikovo,47.6317,43.1461,22.32,36,4,3.25,RU,1720575232
106,cheremukhovo,60.3484,59.9851,21.6,63,0,0.71,RU,1720575233
107,aasiaat,68.7098,-52.8699,2.64,93,100,2.18,GL,1720575234
108,serowe,-22.3833,26.7167,6.47,17,0,1.24,BW,1720575236
109,barra dos coqueiros,-10.9089,-37.0386,25.01,88,75,4.12,BR,1720575237
110,afaahiti,-17.75,-149.2833,27.93,74,14,2.05,PF,1720575238
111,mar del plata,-38.0023,-57.5575,2.75,79,2,0.89,AR,1720575231
112,winnemucca,40.973,-117.7357,40.03,5,0,4.63,US,1720575241
113,sao gabriel da cachoeira,-0.1303,-67.0892,24.21,87,96,0.81,BR,1720575243
114,jiuquan,39.7432,98.5174,29.06,22,99,3.4,CN,1720575244
115,moose jaw,50.4001,-105.5344,26.14,53,0,3.09,CA,1720575158
116,scarborough,54.2797,-0.4044,17.03,93,100,0.89,GB,1720575247
117,kupang,-10.1667,123.5833,30.32,62,20,7.72,ID,1720575248
118,midvagur,62.0511,-7.1939,6.46,93,7,0.0,FO,1720575249
119,torremaggiore,41.6907,15.2963,23.79,69,0,0.9,IT,1720575251
120,longyearbyen,78.2186,15.6401,4.91,81,75,7.72,SJ,1720575252
121,monrovia,6.3005,-10.7969,24.87,89,53,3.83,LR,1720575253
122,bhadasar,28.2833,74.3167,34.08,54,33,3.72,IN,1720575255
123,bel ombre,-4.6167,55.4167,25.91,78,20,2.57,SC,1720575256
124,salinopolis,-0.6136,-47.3561,26.14,82,36,5.15,BR,1720575257
125,salalah,17.0151,54.0924,27.05,100,100,2.06,OM,1720575259
126,whitehorse,60.7161,-135.0538,24.43,32,75,9.26,CA,1720575036
127,ocozocoautla de espinosa,16.7667,-93.3667,19.78,95,100,1.15,MX,1720575262
128,freetown,8.484,-13.2299,27.84,78,75,3.09,SL,1720575263
129,comodoro rivadavia,-45.8667,-67.5,4.92,52,0,6.17,AR,1720575264
130,iquique,-20.2208,-70.1431,16.02,77,51,2.2,CL,1720575266
131,arraial do cabo,-22.9661,-42.0278,21.19,92,100,2.81,BR,1720575267
132,cabo san lucas,22.8909,-109.9124,34.17,40,0,5.14,MX,1720574739
133,bamboo flat,11.7,92.7167,28.2,78,100,4.23,IN,1720575269
134,uturoa,-16.7333,-151.4333,25.97,72,8,2.18,PF,1720575271
135,fauske,67.2588,15.3918,11.02,86,100,0.42,NO,1720575272
136,chibougamau,49.9168,-74.3659,18.79,82,0,2.06,CA,1720575274
137,tangalle,6.024,80.7911,27.09,81,83,5.1,LK,1720575275
138,zouerate,22.7187,-12.4521,26.67,24,1,6.28,MR,1720575276
139,boali,4.8005,18.1275,21.48,95,100,1.04,CF,1720575278
140,bukama,-9.2,25.85,17.22,27,41,1.76,CD,1720575280
141,punta arenas,-53.15,-70.9167,4.06,87,75,19.03,CL,1720575281
142,walvis bay,-22.9575,14.5053,10.61,57,0,3.09,NA,1720575282
143,saipan,15.1355,145.701,30.39,70,75,9.26,MP,1720575284
144,darwin,-12.4611,130.8418,28.99,47,0,6.17,AU,1720575003
145,sao felix do xingu,-6.6447,-51.995,25.58,49,62,0.34,BR,1720575286
146,flen,59.0583,16.5878,13.68,77,100,2.05,SE,1720575288
147,thompson,55.7435,-97.8558,23.09,46,40,2.57,CA,1720575077
148,parnamirim,-5.9156,-35.2628,24.94,88,75,2.57,BR,1720575290
149,spring creek,40.7266,-115.5859,36.83,9,0,3.09,US,1720575293
150,emkhomazi,-30.2067,30.7978,15.27,21,73,3.52,ZA,1720575295
151,san juan de abajo,20.8167,-105.1833,27.82,78,100,3.6,MX,1720575296
152,richards bay,-28.783,32.0377,17.36,17,6,2.07,ZA,1720575297
153,toktogul,41.8708,72.9402,20.67,62,100,0.14,KG,1720575298
154,mahanoro,-19.9,48.8,18.64,82,100,1.29,MG,1720575300
155,shaowu,27.3409,117.4831,34.18,52,96,0.65,CN,1720575302
156,las palmas,28.4204,-14.0131,19.44,78,0,7.2,ES,1720575303
157,vila velha,-20.3297,-40.2925,23.3,89,20,2.06,BR,1720575305
158,chonchi,-42.6128,-73.8092,2.84,95,73,1.57,CL,1720575306
159,saynshand,44.8824,110.1163,28.82,29,45,1.68,MN,1720575308
160,trairi,-3.2778,-39.2689,25.07,83,27,3.73,BR,1720575309
161,mount gambier,-37.8333,140.7667,12.75,56,0,3.38,AU,1720575310
162,smithers,54.7804,-127.1743,32.18,18,40,0.0,CA,1720575311
163,arteche,12.2645,125.4048,28.67,79,100,0.72,PH,1720575313
164,tual,-5.6667,132.75,25.93,84,85,9.79,ID,1720575314
165,muroto-misakicho,33.2833,134.15,26.48,89,92,6.28,JP,1720575316
166,timbuktu,16.7735,-3.0074,30.67,44,100,7.17,ML,1720575317
167,ola,59.5833,151.2833,20.09,50,22,5.81,RU,1720575318
